358,36,130,10.02.2000
357,130,91,11.02.2000
319,91,241,14.02.2000
299,241,147,15.02.2000
159,147,54,16.02.2000
38,54,94,17.02.2000
233,94,189,18.02.2000
271,189,229,21.02.2000
369,229,239,22.02.2000
79,239,256,23.02.2000
113,256,385,24.02.2000
54,385,380,25.02.2000
31,380,341,28.02.2000
9,341,140,29.02.2000
44,140,10,01.03.2000
240,10,101,02.03.2000
381,101,101,03.03.2000
385,101,103,06.03.2000
239,103,84,07.03.2000
257,84,46,08.03.2000
315,46,28,09.03.2000
335,28,67,10.03.2000
375,67,68,13.03.2000
377,68,71,14.03.2000
337,71,91,15.03.2000
317,91,92,16.03.2000
297,92,133,17.03.2000
297,133,134,20.03.2000
218,134,281,21.03.2000
238,281,302,22.03.2000
138,302,117,23.03.2000
73,117,177,24.03.2000
151,177,343,27.03.2000
362,343,322,28.03.2000
16,322,340,29.03.2000
92,340,13,30.03.2000
88,13,222,31.03.2000
360,222,165,03.04.2000
383,165,32,04.04.2000
387,32,53,05.04.2000
213,53,129,06.04.2000
272,129,262,07.04.2000
373,262,35,10.04.2000
139,35,131,11.04.2000
350,131,168,12.04.2000
253,168,242,13.04.2000
389,242,57,14.04.2000
118,57,260,17.04.2000
350,260,181,18.04.2000
229,181,162,19.04.2000
18,162,123,20.04.2000
173,123,104,21.04.2000
327,104,104,24.04.2000
309,104,40,25.04.2000
333,40,83,26.04.2000
334,83,20,27.04.2000
296,20,22,28.04.2000
355,22,4,01.05.2000
357,4,21,02.05.2000
397,21,20,03.05.2000
398,20,1,04.05.2000
399,1,4,05.05.2000
399,4,23,08.05.2000
398,23,8,09.05.2000
399,8,27,10.05.2000
399,27,45,11.05.2000
399,45,19,12.05.2000
359,19,130,15.05.2000
379,130,240,16.05.2000
319,240,180,17.05.2000
139,180,163,18.05.2000
39,163,145,19.05.2000
211,145,33,22.05.2000
327,33,75,23.05.2000
311,75,150,24.05.2000
272,150,119,25.05.2000
239,119,239,26.05.2000
237,239,296,29.05.2000
136,296,317,30.05.2000
95,317,339,31.05.2000
71,339,394,01.06.2000
67,394,359,02.06.2000
5,359,338,05.06.2000
23,338,379,06.06.2000
60,379,379,07.06.2000
100,379,396,08.06.2000
22,396,396,09.06.2000
42,396,396,12.06.2000
0,396,356,13.06.2000
0,356,376,14.06.2000
20,376,393,15.06.2000
1,393,319,16.06.2000
2,319,391,19.06.2000
60,391,388,20.06.2000
61,388,362,21.06.2000
2,362,340,22.06.2000
42,340,164,23.06.2000
41,164,144,26.06.2000
240,144,15,27.06.2000
382,15,105,28.06.2000
386,105,37,29.06.2000
293,37,113,30.06.2000
391,113,132,03.07.2000
256,132,133,04.07.2000
239,133,135,05.07.2000
237,135,152,06.07.2000
313,152,151,07.07.2000
313,151,117,10.07.2000
313,117,191,11.07.2000
310,191,300,12.07.2000
137,300,182,13.07.2000
56,182,184,14.07.2000
132,184,183,17.07.2000
190,183,140,18.07.2000
326,140,123,19.07.2000
289,123,10,20.07.2000
309,10,30,21.07.2000
311,30,87,24.07.2000
394,87,71,25.07.2000
